position_loss,velocity_loss,steering_loss,acceleration_loss,total_nll,object_distance_loss,traffic_light_loss,total_loss
-219.40736284582786,-171.5249419405453,-59.65013179600796,-35.81485368603858,-486.3972895256827,0.025713429243718725,0.08068476016183508,-486.29089108285876
-219.80448124490422,-171.47706637278523,-59.667798585980854,-35.69257573992292,-486.64192213967584,0.02574505996991912,0.08056766182369904,-486.53560907001435
-219.82726323493173,-171.52902901432597,-59.71074656311225,-35.9947502278836,-487.06178754289573,0.025723898185654966,0.08051681161112503,-486.95554720204194
-219.60493036668248,-171.76335937880282,-59.73172575810988,-35.98151330858747,-487.08152804270713,0.025722755148217685,0.0804635612671249,-486.97534103631233
-218.92872728959793,-171.4831999306367,-59.715535244094994,-36.08647374423494,-486.2139364937756,0.025716425369368908,0.08048147875293393,-486.10773798387
-220.2671920443621,-171.6170771708741,-59.699657499604506,-35.944821390407476,-487.52874660789035,0.025724803141065847,0.08050090921723582,-487.42252166843116
-220.24431669526382,-171.83898136697454,-59.72314385387385,-36.132111362207716,-487.9385540448245,0.025731991431052068,0.08023349297845103,-487.8325884572442
-220.67332819763374,-171.9084736001083,-59.706786325044725,-36.10997956415574,-488.3985662252361,0.0257237264277222,0.08029177942751353,-488.29255053558825
-220.332131168924,-171.8690087624428,-59.72520578687436,-36.2258178794124,-488.15216340157104,0.025678854934708725,0.08023348452981759,-488.046250958309
-220.7882979918863,-172.01514266064606,-59.76443792800666,-36.171216400241555,-488.7390954323647,0.025711576712558575,0.08027916420193104,-488.63310351030105
-220.24141605175174,-172.1290253255969,-59.75918519682602,-36.145659815113866,-488.27528775889556,0.025720771796699626,0.08024004988395536,-488.16932844595743
-220.9393025811216,-171.93083247960172,-59.71336722448236,-36.349615507036724,-488.93311792296413,0.02569067486883881,0.08002742976414452,-488.8273988527672
-220.47627842983354,-172.0531271105615,-59.760758587133104,-36.21550168129514,-488.50566600193486,0.025726789811689906,0.08023742813837491,-488.3997013650579
-221.08707515918576,-172.13294854565203,-59.78057920747086,-36.376749531873664,-489.377351659852,0.025710321109846373,0.07975997973082594,-489.2718807232343
-220.88786520319192,-172.3699742017134,-59.78054670529945,-36.44952025368949,-489.48790667287284,0.02574523050349635,0.07974059018669098,-489.3824199545792
-221.19469268893897,-172.47623697916666,-59.80046737528293,-36.392175511036335,-489.8635731159341,0.025676892803419046,0.08000315066624282,-489.75789283443464
-221.7205078980633,-172.38353051871897,-59.79370977574048,-36.435537403617694,-490.3332850376022,0.025717762707967624,0.07962544861240922,-490.22794254100955
-221.34765710563303,-172.39086814238647,-59.80729203506422,-36.464428762037805,-490.0102463956934,0.025697951126739244,0.079806611382887,-489.90474246966875
